,user_id,item_id,rating,category
8381,280,7,4,891700385
50673,622,67,1,882671463
48928,410,690,4,888627138
16318,283,1487,2,879297867
73258,666,1154,3,880567658
31616,429,161,3,882385934
50567,601,87,4,876349503
78020,813,310,4,883752290
98048,406,217,4,879792928
403,134,286,3,891732334
32105,401,172,3,891032896
57832,813,289,4,883752455
18185,276,562,3,889174870
36568,595,825,2,886921606
34050,316,707,4,880853485
34218,592,742,4,882608357
38995,618,378,4,891309514
57951,500,387,2,883875388
56566,47,322,2,879439078
2788,70,584,3,884150236
83606,752,333,3,891207791
1998,213,609,4,878955533
98609,116,269,3,886309452
26299,163,433,1,891220137
50546,777,286,2,875979137
59933,803,887,5,880054671
30255,8,82,5,879362356
67956,824,322,4,877021044
6471,256,576,3,882164603
31985,291,164,4,874834875
20740,417,1028,3,879646785
53721,608,475,3,880405971
57442,567,640,4,882426927
47718,606,71,5,880923745
64598,642,156,1,886454965
31905,504,428,3,887910511
78338,871,92,3,888193338
87,42,403,3,881108684
69395,561,96,1,885809336
31909,496,509,3,876067272
1361,109,1012,4,880564570
36888,109,118,3,880571801
26506,472,501,3,875982868
10392,234,32,3,892078936
53550,225,705,5,879540707
22752,325,211,3,891478627
81043,579,210,3,880951944
33164,542,187,4,886533395
5325,299,739,3,889502865
23479,15,14,4,879455659
50609,730,748,4,880310082
55704,669,354,1,891182622
12400,305,134,5,886322560
56992,99,780,5,886780007
42119,567,170,3,882426184
13620,280,322,4,891700185
39657,121,83,4,891388210
56768,298,276,2,884183833
46828,181,292,1,878961781
83633,267,135,5,878972463
27167,389,612,4,879991218
29193,416,720,4,886318128
54668,710,313,4,882860832
9452,31,321,4,881547746
78425,860,56,4,885990862
21880,450,367,3,882376282
41970,18,411,3,880131986
72031,894,223,4,879897149
38959,462,315,4,886365837
92002,877,14,5,882677048
52885,755,690,5,882569574
90950,311,781,2,884366307
11188,334,1241,2,891545513
20221,387,1537,4,886480681
36137,221,282,4,875244558
35557,380,382,3,885478759
76696,487,197,3,883446404
64463,886,1324,2,876032308
23317,218,203,4,881288620
54790,629,381,4,880117852
95986,590,293,3,879439114
15638,1,86,5,878543541
6794,109,742,5,880564457
13106,210,182,5,887736232
90135,614,1142,3,879463965
44466,592,1514,5,882608625
44533,655,213,4,888474934
17228,405,527,5,885545200
22092,308,208,4,887736798
53202,85,232,3,882995966
7974,321,180,4,879440612
10151,181,819,3,878962550
94021,468,127,4,875280126
81906,234,280,3,892334803
86973,897,243,4,879988868
75174,551,720,2,892784744
8159,344,58,3,884814697
61181,601,1084,5,876346849
56967,327,333,2,887737493
60817,519,340,5,883248251
51786,603,62,2,891955972
1813,303,120,2,879544099
97593,503,580,3,880383236
7440,130,84,4,876252497
46273,187,423,4,879465745
2354,256,939,5,882164893
71168,577,693,1,880475408
22315,450,478,5,887835272
57166,796,29,3,893048672
10460,13,601,4,882140104
18199,299,52,4,877880962
83525,632,228,3,879457157
50286,682,15,4,888523581
17063,276,101,4,874977555
72462,894,744,3,880416072
94345,378,428,3,880055101
64942,377,895,3,891296307
77251,797,748,1,879439105
86568,782,1620,3,891499440
9553,158,825,4,880133029
28294,450,193,5,882372027
49585,640,342,5,886353780
94435,405,176,1,885547909
6578,111,326,3,891680131
91724,267,265,5,878972903
51157,601,123,1,876347148
91280,684,83,5,878761676
47556,718,926,2,883348912
55732,537,480,4,886030622
22317,417,655,4,879647900
873,254,357,3,886472466
31059,391,282,4,877399894
72232,498,673,3,881958343
31594,280,748,2,891700080
60002,741,288,4,891018070
25636,474,1009,4,887915722
71616,385,357,4,879441339
61304,883,83,3,891693200
69576,618,64,4,891306990
7697,235,705,5,889655204
43179,184,707,4,889908873
91896,741,172,5,891018339
39150,592,319,4,882607434
94108,18,317,5,880131144
35590,334,328,3,891544311
92949,669,313,4,891182948
48226,629,15,5,880117719
60726,815,135,2,878694493
26620,345,1008,3,884991267
65494,305,33,3,886325627
86598,932,480,5,891250746
38955,425,289,1,878737635
32911,524,525,3,884634615
39786,655,736,3,888685734
52411,435,562,5,884133819
27030,200,392,5,884128858
21565,99,92,4,885680837
48033,611,751,4,891636098
47829,632,215,4,879458834
95124,922,631,3,891453171
21344,131,276,5,883681723
38385,600,228,3,888451840
83039,631,288,3,888464916
13111,165,332,4,879525672
84356,902,307,3,879463582
12698,374,363,3,880394088
78780,391,186,5,877399658
49047,568,213,4,877907835
70265,648,153,4,884881621
40466,262,1014,5,879961954
38783,178,319,1,884836946
57601,648,728,2,884882078
3480,42,48,5,881107821
35270,566,88,3,881650090
14343,59,186,5,888205660
22661,354,100,5,891216656
34152,251,405,3,886272547
35666,541,222,4,883864848
70067,762,515,5,878719186
14335,393,169,3,887745912
17540,399,568,2,882345842
25516,406,923,3,879446108
44484,642,148,5,885604163
48397,535,609,4,879618019
94589,398,712,2,875736732
85726,3,353,1,889237122
11075,385,661,4,879443045
69076,892,12,5,886608022
80740,916,239,3,880844627
53040,437,30,4,880140855
16341,15,591,2,879455821
52335,672,225,2,879789437
10735,276,649,4,886483691
14212,58,381,4,890321652
33660,538,692,3,877107765
9955,254,755,3,886473489
32166,575,215,3,878148229
57205,763,629,5,878918871
40826,588,97,2,890023587
36687,426,99,4,879444081
1270,262,223,3,879791816
22584,27,286,3,891543393
5077,262,15,3,879962366
79000,939,934,3,880262139
77741,641,657,4,879370062
88280,92,1052,2,890251841
12542,59,431,4,888205534
42097,496,1614,3,876070690
13347,405,11,4,885545263
67709,755,289,1,882569912
41451,234,498,5,892078699
66528,554,531,4,876549731
76973,916,221,4,880843594
60307,815,215,5,878694820
4871,125,1074,3,892838827
73483,927,230,5,879199250
32994,145,282,5,875270570
69120,133,306,4,890588612
38922,454,497,3,881959876
71073,298,845,3,884183773
26906,256,815,5,882151743
4676,239,671,5,889179290
88218,660,209,4,891406212
77562,764,1284,3,876244529
91416,865,744,4,880144024
79396,833,168,5,875038775
50478,454,134,3,881959991
12435,83,663,5,887665423
63693,391,215,4,877399100
9055,70,527,4,884149852
9967,177,508,4,880130825
83856,848,582,4,887046329
12523,231,121,4,879966609
58711,221,55,4,875245319
82159,899,255,4,884120149
44266,682,940,2,888521907
11095,320,188,4,884749360
77521,730,322,1,880310202
64624,782,993,3,891499370
67042,721,172,5,877138884
16228,130,288,5,874953291
88361,885,25,4,885713017
15436,358,132,5,891270652
11478,91,230,4,891439560
99310,916,156,5,880844016
66615,708,926,3,877325523
33964,535,59,3,879618338
37404,312,191,5,891698334
89909,406,1079,2,880132048
84393,854,260,3,882812030
68515,472,403,5,875982200
22112,467,50,4,879532385
4827,145,109,4,875270903
78314,716,73,4,879797256
63593,875,514,5,876465112
29206,449,127,5,879958572
97773,894,509,4,882404278
15979,406,662,3,882480481
70766,503,79,5,879454675
74111,897,133,4,879991037
97293,536,386,4,882361162
76908,151,423,4,879528570
66475,262,92,3,879794205
56296,622,83,5,882592178
5598,220,325,1,881198435
86341,868,169,5,877106505
32736,567,480,4,882426508
18948,99,406,3,885679353
85834,747,199,4,888639102
91318,864,665,3,888892300
12900,326,679,3,879876941
62312,527,603,4,879456078
15227,21,100,5,874951292
77117,339,187,5,891032700
63248,698,588,4,886367558
28922,344,202,4,884901180
56879,128,715,4,879968512
96039,299,179,4,878191943
76717,911,484,3,892839363
68185,776,438,2,892920506
80321,693,291,3,889167954
96025,871,752,3,888192744
65475,532,420,4,888636374
26474,293,746,3,888906748
91041,716,708,4,879797443
28057,71,197,5,885016990
1664,145,448,5,877343121
87218,551,333,5,892775584
22986,387,1128,4,886481033
54266,501,405,4,883347857
46161,295,84,2,879518107
64389,880,252,2,880167551
85144,514,188,5,875463028
64061,851,932,3,875730455
74033,933,80,2,874938689
61506,833,640,3,875123986
23789,290,403,2,880475542
23297,435,550,3,884133253
87660,878,640,1,880867751
28651,496,1401,3,876065499
80029,892,58,4,886609469
14481,405,214,4,885545235
409,7,163,4,891353444
22475,222,209,4,878181457
62366,886,147,5,876033228
80106,823,215,4,878437925
34538,379,729,4,880961621
47320,577,140,4,880475043
95099,763,466,4,878922422
20415,294,1079,2,889242624
83268,930,300,4,879535392
39873,405,55,1,885547909
47258,190,696,3,891042883
30886,234,970,4,892335437
13328,354,929,4,891216896
99534,421,427,4,892241735
57055,393,412,3,887745380
99910,896,511,5,887158830
49156,655,293,4,887650683
54958,593,155,5,875671579
21689,391,12,5,877399745
51448,222,386,2,881060205
80424,833,106,2,879818799
72822,655,6,4,887425812
64327,889,494,3,880181275
59750,564,930,3,888730699
25411,109,425,2,880582317
72574,788,79,4,880868559
99981,750,323,3,879445877
73103,868,56,3,877107143
60793,200,1217,4,884130014
5623,347,22,5,881654005
18696,56,164,4,892910604
944,256,761,4,882164644
85280,450,601,3,882376658
4114,42,405,4,881105541
39846,280,155,5,891702544
60148,772,327,4,877533873
60548,488,1,3,891294896
78255,251,468,2,886271641
82851,796,28,3,892662523
19256,299,607,4,877881229
89656,437,215,3,880140325
59363,320,240,3,884748818
64837,716,514,5,879796331
73429,813,898,1,883752264
60728,608,848,4,880403690
12008,44,717,3,878346470
30542,294,298,5,877819265
79207,389,654,5,879991411
56848,468,7,3,875280214
86298,497,372,4,879362875
88084,825,274,4,889020826
13979,56,588,4,892683248
50043,417,216,3,879647298
9315,330,1016,3,876544480
62190,712,433,3,874956903
18645,82,481,5,878769262
87860,254,228,4,886472609
95489,886,686,4,876033228
24202,83,508,2,887665655
85224,798,73,4,875914114
53226,777,216,4,875980597
93710,908,127,4,879722694
14550,363,66,4,891496849
3558,301,184,4,882077222
93661,624,750,4,891961163
6408,279,167,3,875312441
95608,27,123,5,891543191
93184,271,116,2,885847636
56479,839,123,3,875752560
54032,746,232,3,885075304
14322,75,151,5,884050502
92035,916,650,4,880844711
43655,474,614,4,887926999
70531,631,310,4,888464980
48705,234,9,3,891227689
27772,279,978,1,889231898
83019,734,465,4,891022734
58054,851,987,1,875730601
84498,790,577,2,885158122
85941,222,472,2,877563998
50178,286,741,4,876521887
46095,504,393,3,887909456
57929,806,204,5,882388205
50641,543,1099,4,874863878
33369,82,3,2,878768765
26852,417,16,3,879646692
52441,782,984,2,891498821
58303,345,124,5,884900777
41422,262,402,4,879795059
4216,239,98,5,889180410
4258,183,405,4,891464393
63039,663,682,3,889491891
67086,405,44,1,885548670
13212,274,713,5,878945437
90485,934,213,4,891190744
99656,830,834,1,891899475
85150,796,578,4,893048562
61828,291,774,3,874867852
7040,299,418,4,889501790
66356,916,170,4,880844612
44756,514,473,3,875462520
46826,468,195,5,875291902
96031,821,483,5,874793517
19233,373,559,3,877106305
58696,472,174,5,875981595
5657,233,958,5,875508372
16086,94,715,4,891722278
45326,699,321,3,879383009
81625,716,274,5,879793631
29134,73,64,5,888625042
22594,431,322,4,877844559
41736,582,1215,4,882963027
74275,301,658,3,882076463
52976,756,92,3,874828027
13321,279,952,3,875296676
65180,214,482,4,891544114
48579,705,64,5,883518709
49125,139,288,4,879537918
41327,450,141,3,882377726
56691,756,135,2,874827884
82491,144,294,4,888103573
81227,387,588,3,886480163
97766,290,378,3,880475169
46428,291,94,2,875086354
38059,504,5,4,887912462
95743,864,357,5,888887794
85336,764,273,3,876242649
29332,157,289,4,886889876
21056,317,313,4,891446208
31393,84,95,4,883453642
28950,274,100,5,878945404
25953,371,627,4,877487656
91627,932,520,4,891249794
94246,727,22,4,883710236
41159,393,291,4,887744202
4069,49,531,3,888066511
77422,316,127,2,880853548
51416,184,485,4,889908947
19801,363,101,1,891496953
45452,373,24,4,877100016
80858,865,271,1,880142778
67785,622,588,4,882592246
96099,738,54,3,875351872
63284,764,432,5,876245421
66877,501,597,3,883348260
34637,417,999,3,880952434
39908,593,125,4,875659708
6066,244,1017,4,880604583
66805,900,474,4,877833781
18399,18,705,3,880130640
54769,92,627,3,875654159
66239,486,741,3,879875221
27890,533,595,2,887032451
67119,767,483,5,891462870
78592,277,284,4,879543972
21095,135,173,4,879857723
48655,705,1,5,883427101
32683,145,134,4,882181695
75627,592,123,4,882608573
35336,379,204,5,880525236
25828,415,479,4,879439610
4327,254,141,3,886472836
49640,487,82,5,883446252
66599,716,493,5,879795949
89113,321,942,3,879440954
69164,749,80,1,878850533
98254,18,959,3,880131450
2387,162,181,4,877635798
93919,139,744,5,879538169
93219,716,173,4,879797328
29751,184,747,3,889909672
51153,680,9,4,876816106
43144,62,597,2,879373254
75178,860,949,3,885991163
3134,244,31,4,880603484
88622,665,1028,4,884291133
42625,94,196,4,891721462
15282,417,42,4,879647498
73043,940,317,4,885921577
78,293,5,3,888906576
37338,389,25,3,879916170
24507,489,321,3,891447845
69350,795,710,3,881265617
36800,605,15,5,879427151
62946,788,228,3,880870365
8127,288,340,5,886372155
39878,625,166,3,891960843
65383,660,430,4,891199747
39464,495,770,3,888635339
37383,545,161,4,879899472
26156,280,239,3,891701344
28334,447,281,3,878854857
57525,406,10,3,879445684
23882,328,399,2,885049405
37616,592,457,1,882607779
16276,398,228,5,875657926
55645,682,281,3,888520864
98387,505,182,1,889334555
6633,55,56,4,878176397
79204,59,567,4,888206562
5953,141,472,5,884585274
47240,406,611,3,879446268
92466,70,449,2,884065247
56163,796,751,5,892611979
69953,405,187,5,885544739
9802,297,273,4,874954763
56262,722,147,3,891281158
88479,247,100,3,893081395
52128,159,829,4,880557741
55515,64,89,3,889737376
92229,834,886,4,890860566
49479,618,22,4,891308390
54976,712,136,1,874730443
33525,535,168,5,879618385
12701,292,222,3,881105195
85569,371,176,4,877487135
67604,883,549,4,891696782
28532,465,190,4,883530054
40270,477,778,4,875941191
33993,568,954,2,877907671
99442,682,1012,4,888518747
50294,582,455,1,882961481
79442,14,186,4,879119497
47267,688,332,5,884153712
59001,773,100,4,888539347
79806,795,7,5,880557294
94220,889,700,3,880182295
92184,56,1074,3,892683941
18921,269,597,1,891450978
53372,648,169,5,882212651
83920,384,258,4,891273683
55904,751,734,1,889299637
67195,567,498,4,882425966
59026,542,315,4,886532120
87879,838,718,5,887064051
2237,107,271,2,891264432
33593,107,323,1,891264566
23971,215,496,5,891435183
30222,389,605,5,879991512
37759,21,262,4,874950931
88172,303,238,4,879467295
92068,642,940,2,886569847
81522,748,97,4,879454848
3467,177,651,3,880130862
56857,389,428,3,880087461
46711,566,393,2,881651434
86995,533,919,2,888239673
18365,74,124,3,888333542
37965,633,176,3,875325577
16728,174,67,1,886515130
82567,757,559,4,888467400
47698,65,1044,3,879217002
29289,401,272,3,891031508
51798,574,333,3,891279285
23054,384,878,4,891274962
33301,324,323,4,880575163
55991,749,1228,4,878850748
54561,545,569,3,879900011
81989,670,705,5,877974905
58818,727,378,3,883712603
39809,151,88,5,879542645
5128,60,810,4,883327201
60766,43,124,4,891294050
7081,318,1023,2,884495091
32801,566,423,2,881649709
70224,627,735,4,879530600
12710,325,152,4,891477905
82742,48,650,3,879434819
25347,6,461,4,883601393
4556,328,679,2,885049460
33541,577,684,4,880474394
76209,293,877,2,888904265
99814,804,233,4,879445815
86048,886,33,4,876033088
93884,655,673,3,887523427
65829,875,651,5,876466687
47444,254,416,4,886472713
21200,49,91,5,888066979
94362,926,292,3,888636202
6950,18,71,4,880131236
51125,754,284,3,879451775
686,299,134,4,878192311
35073,26,222,3,891371369
1827,318,768,2,884498022
6546,267,464,5,878974783
89178,930,255,3,879534667
97662,887,90,5,881381071
95767,893,69,5,874827818
15312,64,72,4,889740056
53631,538,153,4,877106976
33264,497,403,3,879310883
45666,552,257,3,879221795
37704,617,488,4,883789386
58245,705,1228,2,883428258
51649,672,1061,4,879789566
89638,8,358,2,879361732
18590,389,71,4,880088091
60841,6,497,4,883601088
36097,524,1456,3,884635031
95275,533,755,3,888845338
41222,592,342,2,882607745
50735,222,1440,3,878184697
1885,81,169,4,876534751
74731,23,89,5,874785582
47680,454,77,4,888266955
23598,357,595,4,878951537
38782,398,87,4,875716709
44990,655,271,3,887425103
86854,875,327,4,876464873
89492,708,819,3,877325349
60582,764,191,3,876244688
10483,131,19,4,883681418
59558,23,153,4,874786438
87188,896,7,4,887159145
37018,567,273,5,882427068
78595,429,1301,4,882385963
89875,862,98,5,879304865
65818,913,357,5,880824372
74192,906,10,4,879435339
20108,245,21,3,888513502
39154,125,300,5,892835836
7894,100,289,3,891375359
6062,343,371,2,876405893
15246,90,150,3,891385250
46343,102,258,4,875886337
94286,919,333,4,875920290
63609,719,293,3,883982002
99348,425,405,2,878738643
8260,90,478,5,891384754
6067,135,54,3,879858003
5609,59,241,4,888205574
21726,395,313,3,883762135
41274,305,770,3,886324521
30425,406,202,3,880131704
83398,721,64,4,877139301
13662,201,221,3,884111397
36335,621,147,3,880738282
12017,389,507,5,879991196
40799,525,125,3,881085709
61093,796,210,3,892662441
16962,178,323,3,882823530
92415,880,570,3,880167965
15913,200,147,5,876042451
31948,425,144,4,878738335
99406,429,409,2,882386751
10003,13,802,2,882398254
66654,846,746,3,883949254
78918,666,154,3,880568662
31522,207,55,3,875509395
88214,181,1215,1,878963304
80478,774,8,1,888556090
97394,681,894,1,885409742
23197,458,50,2,886396521
85038,6,216,5,883601500
29183,136,318,5,882848820
51588,500,1385,4,883865290
92392,630,195,4,885667968
79548,346,175,4,874947644
42600,650,484,5,891372365
77660,374,179,1,880395575
70187,919,201,4,875920887
26295,348,111,5,886523330
33998,190,273,4,891033676
74395,586,184,2,884060807
36742,207,33,2,877125422
9488,224,148,3,888104154
74759,615,97,4,879448759
14755,95,432,3,879197886
24879,18,951,3,880129595
66886,899,218,4,884122155
15619,7,681,1,891350594
97371,912,419,4,875966756
72840,843,1480,2,879449377
71844,109,226,5,880578503
89725,880,1119,3,880242028
87400,230,64,5,880484416
67030,313,141,4,891030189
54829,776,21,3,892313317
42313,599,535,4,880952267
48159,32,111,3,883717986
66640,756,473,3,874829296
24544,495,413,5,888636032
79700,648,781,4,884882078
77734,406,130,3,879540147
28630,542,206,2,886532602
55619,655,483,4,888685734
38236,497,288,2,878759351
49668,622,385,5,882592421
31996,251,742,5,886272486
3568,111,340,4,891679692
42871,660,402,3,891201380
24079,451,457,2,879012890
73571,636,10,5,891449123
20633,277,844,4,879543528
33012,264,1118,4,886123656
11440,102,208,4,888803537
33976,479,226,3,879461280
85412,927,1035,4,879199030
32703,389,210,2,879990996
44330,627,83,3,879530071
19489,256,121,5,882151123
78312,174,781,4,886513788
54029,214,496,4,891544545
49503,663,287,5,889492720
84367,93,934,3,888705988
80569,880,82,3,880167806
36103,286,312,4,884069415
76023,189,255,2,893277551
60180,450,717,4,887834953
60476,411,9,4,891035827
75333,327,47,4,887746553
43895,232,100,5,880062447
41099,567,156,5,882426055
17198,167,1305,1,892738418
85121,927,588,5,879183683
52433,669,749,3,891517159
97208,181,815,3,878963168
21555,363,631,1,891497440
57512,834,282,4,890863052
36798,416,7,4,876697205
20922,450,604,4,882373231
83604,790,546,1,884461590
53439,276,678,3,874786419
41353,181,236,1,878962350
31690,262,288,3,879961374
57424,716,570,3,879797286
21144,26,300,4,891347537
60505,690,51,3,881180543
38665,552,7,3,879221580
60244,840,191,4,891204160
63444,634,544,3,875729478
83053,556,302,4,882135437
35871,209,14,3,883417547
45806,640,382,4,874777528
47522,268,208,4,875309430
75219,415,483,5,879439791
1711,24,367,2,875323241
1634,194,478,3,879521329
38485,416,662,4,876699994
54672,44,553,3,878347847
55829,524,367,5,884636453
48468,440,988,1,891577504
85630,56,393,4,892677047
80878,836,292,5,885753475
6335,311,951,3,884365548
94760,537,1147,3,886031473
92263,334,403,4,891547016
49762,498,675,4,881958414
55322,773,60,5,888538931
74265,666,963,3,880139090
4558,178,978,2,882824983
90270,435,55,5,884131434
40055,530,60,5,883790997
43300,184,213,5,889909045
78784,617,413,1,883789635
69367,889,497,4,880179893
62583,648,227,3,884882803
22786,468,544,3,875280417
94290,660,121,2,891197954
75559,896,596,2,887159426
80881,892,425,5,886608977
24479,469,136,4,879524062
15269,422,184,4,879744085
61855,883,867,5,891695588
45385,408,324,5,889680018
36627,276,1244,3,874836608
83023,417,537,4,880949849
15540,130,168,3,875216786
47127,468,191,4,875287686
80727,694,141,5,875727399
49873,543,180,4,874866208
30871,409,207,3,881108715
23932,272,98,4,879454797
3745,85,97,2,879829667
18786,343,921,4,876406640
23043,264,269,5,886121456
30591,479,840,1,879460547
21625,73,269,4,888792172
8685,347,423,4,881654567
35879,532,195,5,892521554
1075,84,1033,4,883452711
9444,311,136,5,884365357
29530,13,110,3,882141130
63418,627,100,5,879529702
41305,477,732,4,875941111
75009,833,69,2,875039326
8213,144,274,3,888104382
73767,918,64,4,891987025
30188,501,1278,3,883348372
96297,641,432,5,879370119
83931,938,255,1,891356329
67554,840,515,5,891203280
37295,452,482,5,885544110
92052,880,1012,4,880166827
7251,87,385,5,879875818
21229,474,410,2,887915645
12752,354,904,5,891180419
83652,864,655,4,888887128
60055,387,569,2,886481737
9748,265,125,4,875320516
890,6,258,2,883268278
3836,1,70,3,875072895
47002,684,237,5,875811158
32288,538,405,3,877109564
42200,437,28,3,880140534
91366,916,193,4,880844420
34377,501,129,4,883348036
57523,543,114,4,874864346
30184,435,961,1,884133635
4440,313,131,4,891015513
49202,389,383,2,881384649
45020,704,604,5,891397366
12602,290,739,3,880475757
7041,174,456,1,886515240
59089,312,673,5,891699426
67182,194,79,3,879521088
68831,896,431,3,887159262
64097,891,591,4,891639497
50044,702,313,5,885767336
21060,267,33,5,878972650
16989,222,161,4,878182279
38080,435,588,4,884131996
92042,527,423,3,879456248
47215,543,302,4,887912238
82856,788,984,3,880867855
95544,417,191,5,879647498
